,Unnamed: 0,Node_ID,Coordinates,Longitude,Latitude,page_rank,influence_factor_page_rank,influence_factor_page_rank_minMax,influence_factor_page_rank_norm
0,0,90725729,"(25.5948666, 45.6600797)",25.5948666,45.6600797,0.000327625713182,0.000327625713182,0.712580790300982,0.06417727753174374
1,1,90725732,"(25.5931274, 45.6632299)",25.5931274,45.6632299,0.000149065671252,0.000149065671252,0.3186791880217801,0.02919987220014353
2,2,90728988,"(25.5969224, 45.660579)",25.5969224,45.660579,0.0003098870889337,3.098870889337654e-05,0.05820263255840172,0.00607025300818149
3,3,90728990,"(25.6005342, 45.6603834)",25.6005342,45.6603834,0.0002991371422808,2.991371422808917e-05,0.055831205465747435,0.005859676645571738
4,4,90731809,"(25.6136132, 45.6599282)",25.6136132,45.6599282,0.0003282537697951,0.0001641268848975,0.35190406926120976,0.03215015250233455
5,5,90732150,"(25.6131403, 45.660199)",25.6131403,45.660199,0.0003695227688053,0.0001847613844026,0.3974235613571774,0.03619216125862464
6,6,90734732,"(25.6210101, 45.6586766)",25.6210101,45.6586766,0.0001955153876468,1.9551538764687177e-05,0.06040767362840407,0.003829871951402479
7,7,90737293,"(25.6333695, 45.6651096)",25.6333695,45.6651096,0.000306867049804,0.000306867049804,0.6667873939879686,0.06011094681594343
8,8,96202219,"(25.5827847, 45.685296)",25.5827847,45.685296,0.0002984500988606,0.0002984500988606,0.6482196874222945,0.05846218429538516
9,9,96202984,"(25.5827443, 45.6969786)",25.5827443,45.6969786,0.0003956558076991,3.956558076991997e-05,0.07712312304550811,0.007750341794342664
10,10,110798374,"(25.581737, 45.7481217)",25.581737,45.7481217,0.0002671844307298,0.0002671844307298,0.5792479474969648,0.05233767886094422
11,11,110803280,"(25.57952, 45.7147367)",25.57952,45.7147367,0.0003877005593631,3.877005593631207e-05,0.07536820350570485,0.007594509648159782
12,12,110803288,"(25.5800356, 45.7109975)",25.5800356,45.7109975,0.0003600674292263,3.600674292263257e-05,0.0692723636306558,0.00705321542413936
13,13,110803291,"(25.5805013, 45.7083532)",25.5805013,45.7083532,0.0003442388623036,3.4423886230360255e-05,0.06578059816887993,0.006743156020540267
14,14,110803298,"(25.5803606, 45.7050316)",25.5803606,45.7050316,0.0003457761013482,3.4577610134823054e-05,0.06611971150925566,0.006773268375227433
15,15,110803308,"(25.5807242, 45.7009423)",25.5807242,45.7009423,0.0003671252886871,3.671252886871632e-05,0.0708293201144447,0.007191468982139732
16,16,122915891,"(25.6532072, 45.6065811)",25.6532072,45.6065811,0.0002849429671742,2.8494296717420825e-05,0.05269998514505214,0.005581632683054744
17,17,122915900,"(25.6540536, 45.6069164)",25.6540536,45.6069164,0.0002849429671742,2.8494296717420825e-05,0.05269998514505214,0.005581632683054744
18,18,128986827,"(25.6555713, 45.6150063)",25.6555713,45.6150063,0.0001539990231326,0.0001539990231326,0.3295621111515655,0.030166246572069382
19,19,128989968,"(25.6508997, 45.6183511)",25.6508997,45.6183511,0.0003067058042653,0.0003067058042653,0.6664316880004038,0.0600793610787087
20,20,128989975,"(25.6442568, 45.6246358)",25.6442568,45.6246358,0.0002947347340881,0.0002947347340881,0.6400236312323369,0.05773439649808263
21,21,128994017,"(25.6342492, 45.6345153)",25.6342492,45.6345153,0.0002569849661579,2.5698496615798923e-05,0.06040767362840407,0.005033974694606834
22,22,129004646,"(25.6215018, 45.6503887)",25.6215018,45.6503887,0.0003545398510977,3.545398510977497e-05,0.06805298562310408,0.00694493792900913
23,23,129022688,"(25.603777, 45.6534347)",25.603777,45.6534347,0.0002545394433631,2.5453944336316e-05,0.045992999296112516,0.004986070336432488
24,24,130169353,"(25.6345643, 45.6342147)",25.6345643,45.6342147,0.0002374804861089,0.0002374804861089,0.5137213534520774,0.046519093136373625
25,25,130169358,"(25.6338799, 45.6342857)",25.6338799,45.6342857,0.0002337795883792,0.0002337795883792,0.5055572114086309,0.04579413922964648
26,26,130169360,"(25.6341002, 45.6340466)",25.6341002,45.6340466,0.0002729490839507,2.7294908395077773e-05,0.06040767362840407,0.005346689349444715
27,27,130169502,"(25.6181458, 45.6508789)",25.6181458,45.6508789,0.000295993445368,2.9599344536803583e-05,0.06040767362840407,0.005798096036622415
28,28,130169519,"(25.6183871, 45.6515337)",25.6183871,45.6515337,0.0003497480982998,3.4974809829980785e-05,0.06699592992103659,0.006851074219048675
29,29,130169545,"(25.6215842, 45.6511207)",25.6215842,45.6511207,0.0002422366429502,2.4223664295022936e-05,0.04327901427303865,0.0047450757487824975
30,30,130169724,"(25.6145451, 45.6495342)",25.6145451,45.6495342,0.0003773967121985,3.773967121985792e-05,0.07309518549793353,0.007392671748227885
31,31,130169725,"(25.6139522, 45.650747)",25.6139522,45.650747,0.00037221797939,3.72217979390067e-05,0.07195276240651842,0.007291227643158511
32,32,130169726,"(25.6142545, 45.6509331)",25.6142545,45.6509331,0.000430097369626,4.300973696260116e-05,0.0847208959186171,0.008425003638474496
33,33,130169732,"(25.6144845, 45.6514749)",25.6144845,45.6514749,0.0004367202691635,4.367202691635874e-05,0.08618190069403489,0.008554736942237424
34,34,251052757,"(25.6149418, 45.6425161)",25.6149418,45.6425161,0.0004218960410499,4.218960410499846e-05,0.08291169133286679,0.008264351125873839
35,35,251133318,"(25.5995182, 45.6297782)",25.5995182,45.6297782,0.000507533704277,5.075337042770604e-05,0.10180327110400952,0.00994187271803317
36,36,251136561,"(25.6012682, 45.6302644)",25.6012682,45.6302644,0.0002660153797966,2.6601537979667e-05,0.048524578982113015,0.005210867819596116
37,37,251136583,"(25.6018858, 45.6308665)",25.6018858,45.6308665,0.0004524273956274,0.0002262136978137,0.48886693521801566,0.044312087488710135
38,38,251137186,"(25.6010373, 45.6302183)",25.6010373,45.6302183,0.0001988042669355,1.9880426693556305e-05,0.03369787712832592,0.003894296479266533
39,39,251137194,"(25.6012859, 45.6298986)",25.6012859,45.6298986,0.0004105213804276,4.105213804276176e-05,0.08040245298586361,0.008041537493664964
40,40,251137195,"(25.6015261, 45.6300051)",25.6015261,45.6300051,0.0003204374204185,3.204374204185837e-05,0.060530024751821926,0.006276919189897498
41,41,251137573,"(25.6083068, 45.6361455)",25.6083068,45.6361455,0.000328336853259,3.2833685325904345e-05,0.06227263145112695,0.006431657988883013
42,42,251137576,"(25.6101374, 45.6386543)",25.6101374,45.6386543,0.0004101934889144,0.0002050967444572,0.44228315492499026,0.0401755727963113
43,43,251137847,"(25.6052297, 45.6328168)",25.6052297,45.6328168,0.0002985453162003,2.985453162003397e-05,0.06040767362840407,0.005848083603544231
44,44,251137891,"(25.6059155, 45.6337096)",25.6059155,45.6337096,0.0003148374353128,3.148374353128415e-05,0.06040767362840407,0.006167223343739904
45,45,251168011,"(25.6178882, 45.642468)",25.6178882,45.642468,0.0003249343586769,0.0001624671793384,0.348242775995511,0.031825039484638745
46,46,251168116,"(25.6171348, 45.6423224)",25.6171348,45.6423224,0.0002872577922062,0.0001436288961031,0.30668571837853814,0.028134884277737037
