osmid,y,x,street_count,highway,geometry
90725729,45.6600797,25.5948666,3,,POINT (25.5948666 45.6600797)
90725732,45.6632299,25.5931274,3,,POINT (25.5931274 45.6632299)
90728988,45.660579,25.5969224,3,,POINT (25.5969224 45.660579)
90728990,45.6603834,25.6005342,3,,POINT (25.6005342 45.6603834)
90731809,45.6599282,25.6136132,3,,POINT (25.6136132 45.6599282)
90732150,45.660199,25.6131403,3,,POINT (25.6131403 45.660199)
90734732,45.6586766,25.6210101,3,,POINT (25.6210101 45.6586766)
90737293,45.6651096,25.6333695,3,,POINT (25.6333695 45.6651096)
96202219,45.685296,25.5827847,3,,POINT (25.5827847 45.685296)
96202984,45.6969786,25.5827443,3,,POINT (25.5827443 45.6969786)
110798374,45.7481217,25.581737,3,,POINT (25.581737 45.7481217)
110803280,45.7147367,25.57952,3,,POINT (25.57952 45.7147367)
110803288,45.7109975,25.5800356,3,,POINT (25.5800356 45.7109975)
110803291,45.7083532,25.5805013,3,,POINT (25.5805013 45.7083532)
110803298,45.7050316,25.5803606,3,,POINT (25.5803606 45.7050316)
110803308,45.7009423,25.5807242,3,,POINT (25.5807242 45.7009423)
122915891,45.6065811,25.6532072,3,,POINT (25.6532072 45.6065811)
122915900,45.6069164,25.6540536,3,,POINT (25.6540536 45.6069164)
128986827,45.6150063,25.6555713,3,,POINT (25.6555713 45.6150063)
128989968,45.6183511,25.6508997,3,,POINT (25.6508997 45.6183511)
128989975,45.6246358,25.6442568,3,,POINT (25.6442568 45.6246358)
128994017,45.6345153,25.6342492,3,,POINT (25.6342492 45.6345153)
129004646,45.6503887,25.6215018,4,traffic_signals,POINT (25.6215018 45.6503887)
129022688,45.6534347,25.603777,4,,POINT (25.603777 45.6534347)
130169353,45.6342147,25.6345643,3,,POINT (25.6345643 45.6342147)
130169358,45.6342857,25.6338799,3,,POINT (25.6338799 45.6342857)
130169360,45.6340466,25.6341002,3,,POINT (25.6341002 45.6340466)
130169502,45.6508789,25.6181458,3,,POINT (25.6181458 45.6508789)
130169519,45.6515337,25.6183871,3,,POINT (25.6183871 45.6515337)
130169545,45.6511207,25.6215842,4,,POINT (25.6215842 45.6511207)
130169724,45.6495342,25.6145451,4,,POINT (25.6145451 45.6495342)
130169725,45.650747,25.6139522,3,,POINT (25.6139522 45.650747)
130169726,45.6509331,25.6142545,3,,POINT (25.6142545 45.6509331)
130169732,45.6514749,25.6144845,4,,POINT (25.6144845 45.6514749)
251052757,45.6425161,25.6149418,4,,POINT (25.6149418 45.6425161)
251133318,45.6297782,25.5995182,3,,POINT (25.5995182 45.6297782)
251136561,45.6302644,25.6012682,3,,POINT (25.6012682 45.6302644)
251136583,45.6308665,25.6018858,3,,POINT (25.6018858 45.6308665)
251137186,45.6302183,25.6010373,3,,POINT (25.6010373 45.6302183)
251137194,45.6298986,25.6012859,3,,POINT (25.6012859 45.6298986)
251137195,45.6300051,25.6015261,3,,POINT (25.6015261 45.6300051)
251137573,45.6361455,25.6083068,3,,POINT (25.6083068 45.6361455)
251137576,45.6386543,25.6101374,4,traffic_signals,POINT (25.6101374 45.6386543)
251137847,45.6328168,25.6052297,3,,POINT (25.6052297 45.6328168)
251137891,45.6337096,25.6059155,3,,POINT (25.6059155 45.6337096)
251168011,45.642468,25.6178882,3,traffic_signals,POINT (25.6178882 45.642468)
251168116,45.6423224,25.6171348,3,,POINT (25.6171348 45.6423224)
251168117,45.6419373,25.6152061,4,,POINT (25.6152061 45.6419373)
251168234,45.6394627,25.6108996,3,,POINT (25.6108996 45.6394627)
251170767,45.6467474,25.6194692,4,,POINT (25.6194692 45.6467474)
251170883,45.6458376,25.6188088,3,,POINT (25.6188088 45.6458376)
251170953,45.6422504,25.6167188,3,,POINT (25.6167188 45.6422504)
251170961,45.6430169,25.6178803,3,,POINT (25.6178803 45.6430169)
251171348,45.6488573,25.6226336,3,,POINT (25.6226336 45.6488573)
251171455,45.6497137,25.621739,3,,POINT (25.621739 45.6497137)
251174828,45.6536917,25.6149837,3,,POINT (25.6149837 45.6536917)
251174829,45.6540358,25.614051,4,,POINT (25.614051 45.6540358)
251175338,45.6546881,25.6155484,3,,POINT (25.6155484 45.6546881)
251176393,45.6541322,25.6127952,3,,POINT (25.6127952 45.6541322)
251187277,45.6391147,25.608744,3,,POINT (25.608744 45.6391147)
251187284,45.6377017,25.6087892,3,,POINT (25.6087892 45.6377017)
251187292,45.6369211,25.6089887,4,,POINT (25.6089887 45.6369211)
251373472,45.6403446,25.608316,3,,POINT (25.608316 45.6403446)
251373473,45.6413097,25.6074446,3,,POINT (25.6074446 45.6413097)
251377844,45.6420732,25.6059022,3,,POINT (25.6059022 45.6420732)
251383112,45.645629,25.5894952,3,,POINT (25.5894952 45.645629)
251383114,45.6454753,25.5896004,3,,POINT (25.5896004 45.6454753)
251383116,45.6454961,25.5899522,3,,POINT (25.5899522 45.6454961)
251384116,45.6455643,25.5900106,3,,POINT (25.5900106 45.6455643)
251384730,45.6436383,25.5970401,4,traffic_signals,POINT (25.5970401 45.6436383)
251384825,45.6442396,25.5960679,3,,POINT (25.5960679 45.6442396)
251385261,45.6483371,25.6045714,4,traffic_signals,POINT (25.6045714 45.6483371)
251385577,45.6507902,25.6087071,3,,POINT (25.6087071 45.6507902)
251404563,45.6311707,25.6049874,3,,POINT (25.6049874 45.6311707)
251470276,45.6527713,25.6084771,3,,POINT (25.6084771 45.6527713)
251470280,45.6541184,25.6100132,3,,POINT (25.6100132 45.6541184)
251470596,45.6509255,25.6079328,3,,POINT (25.6079328 45.6509255)
251471038,45.6404644,25.6189668,3,,POINT (25.6189668 45.6404644)
251471077,45.6366382,25.6213768,3,,POINT (25.6213768 45.6366382)
251471080,45.635089,25.6237331,3,,POINT (25.6237331 45.635089)
251471085,45.6334374,25.6269604,3,,POINT (25.6269604 45.6334374)
251471163,45.6337092,25.6329897,3,,POINT (25.6329897 45.6337092)
251471253,45.6359176,25.6362788,3,,POINT (25.6362788 45.6359176)
251471335,45.640648,25.6361128,3,,POINT (25.6361128 45.640648)
251471449,45.655162,25.6088637,4,,POINT (25.6088637 45.655162)
251471450,45.6541877,25.6070274,3,,POINT (25.6070274 45.6541877)
251471458,45.6530408,25.6077513,1,,POINT (25.6077513 45.6530408)
251496760,45.6423735,25.617418,3,,POINT (25.617418 45.6423735)
251496761,45.6422509,25.6179944,3,,POINT (25.6179944 45.6422509)
251497848,45.6511265,25.6160144,3,,POINT (25.6160144 45.6511265)
251629144,45.6518918,25.6216527,4,,POINT (25.6216527 45.6518918)
251629145,45.6529409,25.6217662,3,,POINT (25.6217662 45.6529409)
251629665,45.6491602,25.6451735,3,,POINT (25.6451735 45.6491602)
251631084,45.6527984,25.6490844,1,,POINT (25.6490844 45.6527984)
251688713,45.6319544,25.6063227,3,,POINT (25.6063227 45.6319544)
251689509,45.6325983,25.6075266,3,,POINT (25.6075266 45.6325983)
251762203,45.6331912,25.6332244,3,,POINT (25.6332244 45.6331912)
251765041,45.6530089,25.6201586,3,,POINT (25.6201586 45.6530089)
251765055,45.653109,25.6225369,3,,POINT (25.6225369 45.653109)
251765095,45.6542469,25.6239784,4,traffic_signals,POINT (25.6239784 45.6542469)
251820931,45.6514052,25.6148244,3,,POINT (25.6148244 45.6514052)
251877972,45.6546959,25.6256565,3,,POINT (25.6256565 45.6546959)
251878013,45.6525523,25.625894,3,,POINT (25.625894 45.6525523)
252405163,45.6414006,25.6263921,4,traffic_signals,POINT (25.6263921 45.6414006)
252405547,45.644211,25.6325791,3,,POINT (25.6325791 45.644211)
252405584,45.644502,25.6322654,3,traffic_signals,POINT (25.6322654 45.644502)
252455195,45.6460636,25.5896938,3,,POINT (25.5896938 45.6460636)
252455415,45.6473033,25.5891841,3,,POINT (25.5891841 45.6473033)
252455848,45.654659,25.5831956,3,,POINT (25.5831956 45.654659)
252456260,45.6635725,25.5781958,3,,POINT (25.5781958 45.6635725)
252456266,45.6635682,25.5776934,3,,POINT (25.5776934 45.6635682)
252458333,45.6605196,25.5538799,3,,POINT (25.5538799 45.6605196)
252458334,45.6611184,25.5523955,3,,POINT (25.5523955 45.6611184)
252460612,45.6661857,25.5939348,3,,POINT (25.5939348 45.6661857)
252460703,45.6651929,25.5844766,3,,POINT (25.5844766 45.6651929)
252460705,45.6646079,25.5825516,3,,POINT (25.5825516 45.6646079)
252460707,45.6639836,25.5793865,3,,POINT (25.5793865 45.6639836)
252460709,45.6638119,25.5789614,3,,POINT (25.5789614 45.6638119)
252464263,45.6414006,25.6070579,1,,POINT (25.6070579 45.6414006)
252467962,45.6295321,25.6005098,3,,POINT (25.6005098 45.6295321)
252467965,45.6303986,25.6031102,3,,POINT (25.6031102 45.6303986)
252468104,45.6375266,25.6135709,4,,POINT (25.6135709 45.6375266)
252469448,45.6339435,25.6327549,3,,POINT (25.6327549 45.6339435)
252551884,45.644299,25.6318736,4,,POINT (25.6318736 45.644299)
252686137,45.6382741,25.6086275,3,,POINT (25.6086275 45.6382741)
252686144,45.6374913,25.6080902,1,,POINT (25.6080902 45.6374913)
252686204,45.6384275,25.6093691,1,,POINT (25.6093691 45.6384275)
252686674,45.6544493,25.6053024,3,,POINT (25.6053024 45.6544493)
252728931,45.65057,25.6061719,3,,POINT (25.6061719 45.65057)
252728932,45.6501156,25.6037124,4,traffic_signals,POINT (25.6037124 45.6501156)
252728933,45.6488935,25.5993368,3,,POINT (25.5993368 45.6488935)
252728934,45.6486301,25.5986538,3,,POINT (25.5986538 45.6486301)
252728995,45.646367,25.5945282,3,,POINT (25.5945282 45.646367)
252729002,45.6470212,25.5893021,4,traffic_signals,POINT (25.5893021 45.6470212)
252730571,45.65497,25.5919777,4,,POINT (25.5919777 45.65497)
252730664,45.6538448,25.5887803,3,,POINT (25.5887803 45.6538448)
252730670,45.6529742,25.5872035,3,,POINT (25.5872035 45.6529742)
252730869,45.6642453,25.5808553,4,traffic_signals,POINT (25.5808553 45.6642453)
252731331,45.6462081,25.576863,3,,POINT (25.576863 45.6462081)
252731339,45.6454216,25.5802022,3,,POINT (25.5802022 45.6454216)
252731340,45.6450941,25.580257,3,,POINT (25.580257 45.6450941)
252732478,45.6106395,25.5524511,3,,POINT (25.5524511 45.6106395)
252732801,45.5968746,25.5505776,3,,POINT (25.5505776 45.5968746)
252811217,45.6461179,25.5880891,3,,POINT (25.5880891 45.6461179)
252811499,45.6499373,25.5876785,3,,POINT (25.5876785 45.6499373)
252870054,45.6546188,25.609453,4,,POINT (25.609453 45.6546188)
252870240,45.6535337,25.6074449,3,,POINT (25.6074449 45.6535337)
252948258,45.6478283,25.6049869,3,,POINT (25.6049869 45.6478283)
252948259,45.6477641,25.6051866,3,,POINT (25.6051866 45.6477641)
252948260,45.6483196,25.6081755,4,,POINT (25.6081755 45.6483196)
252950980,45.6410736,25.6156567,3,,POINT (25.6156567 45.6410736)
252951681,45.6392516,25.6166834,3,,POINT (25.6166834 45.6392516)
252953725,45.6395293,25.6129779,3,,POINT (25.6129779 45.6395293)
252953781,45.6390101,25.613687,3,,POINT (25.613687 45.6390101)
252953783,45.6382417,25.6148461,4,,POINT (25.6148461 45.6382417)
252953786,45.6402936,25.6120974,3,,POINT (25.6120974 45.6402936)
252953800,45.6378658,25.612537,3,,POINT (25.612537 45.6378658)
252955343,45.6514673,25.6087973,3,,POINT (25.6087973 45.6514673)
252955488,45.6483985,25.6190863,3,,POINT (25.6190863 45.6483985)
253075140,45.6511658,25.6041144,3,,POINT (25.6041144 45.6511658)
253075178,45.6518433,25.6075829,3,,POINT (25.6075829 45.6518433)
253075182,45.651517,25.6059525,4,,POINT (25.6059525 45.651517)
253075319,45.6522029,25.6057768,3,,POINT (25.6057768 45.6522029)
253075324,45.6526827,25.6054661,1,,POINT (25.6054661 45.6526827)
253075380,45.6507406,25.6070282,3,,POINT (25.6070282 45.6507406)
253075396,45.6516509,25.6066288,3,,POINT (25.6066288 45.6516509)
253132832,45.6582049,25.5623786,3,,POINT (25.5623786 45.6582049)
253132835,45.6580895,25.5624756,3,,POINT (25.5624756 45.6580895)
253132838,45.6581487,25.5626906,3,,POINT (25.5626906 45.6581487)
253132840,45.6582826,25.5626434,3,,POINT (25.5626434 45.6582826)
253133270,45.6598291,25.5618049,3,,POINT (25.5618049 45.6598291)
253136067,45.6577728,25.5612158,3,,POINT (25.5612158 45.6577728)
253137626,45.6563306,25.5612125,1,,POINT (25.5612125 45.6563306)
253137633,45.6559666,25.5614718,4,,POINT (25.5614718 45.6559666)
253138026,45.6583335,25.5933921,4,,POINT (25.5933921 45.6583335)
253138176,45.6586662,25.5932413,3,,POINT (25.5932413 45.6586662)
253138177,45.6587196,25.5932327,3,,POINT (25.5932327 45.6587196)
253138178,45.6587893,25.593102,3,,POINT (25.593102 45.6587893)
253138181,45.6586789,25.5929314,3,,POINT (25.5929314 45.6586789)
253138184,45.6585729,25.5931054,3,,POINT (25.5931054 45.6585729)
253138654,45.6592627,25.5923933,3,traffic_signals,POINT (25.5923933 45.6592627)
253138703,45.6589485,25.5927942,3,,POINT (25.5927942 45.6589485)
253138754,45.6596617,25.5954321,3,,POINT (25.5954321 45.6596617)
253138906,45.6594427,25.5930244,3,,POINT (25.5930244 45.6594427)
253138989,45.6582445,25.5872364,3,,POINT (25.5872364 45.6582445)
253138996,45.664442,25.5818299,3,,POINT (25.5818299 45.664442)
253853135,45.636571,25.6100887,3,,POINT (25.6100887 45.636571)
253854723,45.6358928,25.6089476,3,,POINT (25.6089476 45.6358928)
253854726,45.6358068,25.609382,3,,POINT (25.609382 45.6358068)
253863268,45.6320082,25.6370192,1,,POINT (25.6370192 45.6320082)
253863435,45.6326869,25.6383226,1,,POINT (25.6383226 45.6326869)
253910377,45.6382419,25.6114057,3,,POINT (25.6114057 45.6382419)
253926724,45.6524932,25.6077913,3,,POINT (25.6077913 45.6524932)
253991387,45.6507636,25.6039678,3,,POINT (25.6039678 45.6507636)
253991389,45.65003,25.6033274,4,,POINT (25.6033274 45.65003)
254091978,45.6573126,25.5844969,3,,POINT (25.5844969 45.6573126)
