gen,nevals,congestion_avg,congestion_std,congestion_min,congestion_max,time_avg,time_std,time_min,time_max,distance_avg,distance_std,distance_min,distance_max
1,22,0.0,0.0,0.0,0.0,183.48,13.233654068321417,169.0,209.0,1550.76,235.1328611657673,1050.0,1705.0
2,24,0.0,0.0,0.0,0.0,184.24,14.768290354675454,169.0,209.0,1492.72,258.49541891492004,1050.0,1705.0
3,24,0.0,0.0,0.0,0.0,188.08,17.939721291034594,169.0,209.0,1338.16,247.85167822712035,1050.0,1705.0
4,21,0.0,0.0,0.0,0.0,196.0,18.547236990991408,169.0,209.0,1167.04,159.31163924836127,1050.0,1394.0
5,22,0.0,0.0,0.0,0.0,205.6,10.836973747315252,169.0,209.0,1084.48,97.41175288434142,1050.0,1394.0
6,22,0.0,0.0,0.0,0.0,205.4,10.818502669038818,169.0,209.0,1091.44,100.85477876630338,1050.0,1394.0
7,22,0.0,0.0,0.0,0.0,205.4,10.818502669038818,169.0,209.0,1091.44,100.85477876630338,1050.0,1394.0
8,20,0.0,0.0,0.0,0.0,205.4,10.818502669038818,169.0,209.0,1091.44,100.85477876630338,1050.0,1394.0
9,18,0.0,0.0,0.0,0.0,205.4,10.818502669038818,169.0,209.0,1091.44,100.85477876630338,1050.0,1394.0
10,20,0.0,0.0,0.0,0.0,205.4,10.818502669038818,169.0,209.0,1091.44,100.85477876630338,1050.0,1394.0
