gen,nevals,congestion_avg,congestion_std,congestion_min,congestion_max,time_avg,time_std,time_min,time_max,distance_avg,distance_std,distance_min,distance_max
1,6,0.8,0.4,0.0,1.0,454.6,35.942175782776424,387.0,482.0,2680.0,134.56299639945598,2523.0,2827.0
2,9,0.6,0.48989794855663565,0.0,1.0,430.4,37.547836156029014,387.0,482.0,2593.8,81.03678177222982,2523.0,2693.0
3,8,0.4,0.48989794855663565,0.0,1.0,418.2,39.69584361113893,387.0,482.0,2626.4,81.59803919212764,2523.0,2693.0
4,8,0.4,0.48989794855663565,0.0,1.0,418.2,39.69584361113893,387.0,482.0,2626.4,81.59803919212764,2523.0,2693.0
5,10,0.4,0.48989794855663565,0.0,1.0,418.2,39.69584361113893,387.0,482.0,2626.4,81.59803919212764,2523.0,2693.0
6,10,0.4,0.48989794855663565,0.0,1.0,418.2,39.69584361113893,387.0,482.0,2626.4,81.59803919212764,2523.0,2693.0
7,8,0.4,0.48989794855663565,0.0,1.0,418.2,39.69584361113893,387.0,482.0,2626.4,81.59803919212764,2523.0,2693.0
8,8,0.4,0.48989794855663565,0.0,1.0,418.2,39.69584361113893,387.0,482.0,2626.4,81.59803919212764,2523.0,2693.0
9,10,0.4,0.48989794855663565,0.0,1.0,418.2,39.69584361113893,387.0,482.0,2626.4,81.59803919212764,2523.0,2693.0
10,7,0.4,0.48989794855663565,0.0,1.0,418.2,39.69584361113893,387.0,482.0,2626.4,81.59803919212764,2523.0,2693.0
11,9,0.4,0.48989794855663565,0.0,1.0,418.2,39.69584361113893,387.0,482.0,2626.4,81.59803919212764,2523.0,2693.0
12,8,0.4,0.48989794855663565,0.0,1.0,418.2,39.69584361113893,387.0,482.0,2626.4,81.59803919212764,2523.0,2693.0
