gen,nevals,congestion_avg,congestion_std,congestion_min,congestion_max,time_avg,time_std,time_min,time_max,distance_avg,distance_std,distance_min,distance_max
1,23,0.36,0.48000000000000004,0.0,1.0,429.12,36.91646787004412,370.0,499.0,2636.2,260.89246826997515,2234.0,2982.0
2,21,0.44,0.4963869458396343,0.0,1.0,411.72,40.87103619924506,370.0,499.0,2517.92,270.7649785330444,2234.0,2827.0
3,21,0.8,0.4,0.0,1.0,380.8,21.6,370.0,424.0,2293.2,118.39999999999999,2234.0,2530.0
4,24,0.92,0.2712931993250107,0.0,1.0,374.32,14.649832763550581,370.0,424.0,2257.68,80.30278700020317,2234.0,2530.0
5,23,0.92,0.2712931993250107,0.0,1.0,374.32,14.649832763550581,370.0,424.0,2257.68,80.30278700020317,2234.0,2530.0
6,24,0.92,0.2712931993250107,0.0,1.0,374.32,14.649832763550581,370.0,424.0,2257.68,80.30278700020317,2234.0,2530.0
7,20,0.92,0.2712931993250107,0.0,1.0,374.32,14.649832763550581,370.0,424.0,2257.68,80.30278700020317,2234.0,2530.0
8,24,0.92,0.2712931993250107,0.0,1.0,374.32,14.649832763550581,370.0,424.0,2257.68,80.30278700020317,2234.0,2530.0
9,21,0.92,0.2712931993250107,0.0,1.0,374.32,14.649832763550581,370.0,424.0,2257.68,80.30278700020317,2234.0,2530.0
10,19,0.92,0.2712931993250107,0.0,1.0,374.32,14.649832763550581,370.0,424.0,2257.68,80.30278700020317,2234.0,2530.0
