gen,nevals,congestion_avg,congestion_std,congestion_min,congestion_max,time_avg,time_std,time_min,time_max,distance_avg,distance_std,distance_min,distance_max
1,24,1.0,0.0,1.0,1.0,633.72,30.645743586997526,589.0,704.0,4976.6,157.62360229356517,4826.0,5460.0
2,24,1.0,0.0,1.0,1.0,620.04,32.12410932617433,589.0,704.0,4893.92,64.83697710411862,4826.0,4960.0
3,22,1.0,0.0,1.0,1.0,594.36,8.366026535936877,589.0,635.0,4832.24,26.08030674666232,4826.0,4960.0
4,20,1.0,0.0,1.0,1.0,592.68,1.085172797300043,589.0,593.0,4826.92,0.2712931993250107,4826.0,4827.0
5,24,1.0,0.0,1.0,1.0,592.68,1.085172797300043,589.0,593.0,4826.92,0.2712931993250107,4826.0,4827.0
6,22,1.0,0.0,1.0,1.0,592.68,1.085172797300043,589.0,593.0,4826.92,0.2712931993250107,4826.0,4827.0
7,23,1.0,0.0,1.0,1.0,592.68,1.085172797300043,589.0,593.0,4826.92,0.2712931993250107,4826.0,4827.0
8,24,1.0,0.0,1.0,1.0,592.68,1.085172797300043,589.0,593.0,4826.92,0.2712931993250107,4826.0,4827.0
9,20,1.0,0.0,1.0,1.0,592.68,1.085172797300043,589.0,593.0,4826.92,0.2712931993250107,4826.0,4827.0
10,24,1.0,0.0,1.0,1.0,592.68,1.085172797300043,589.0,593.0,4826.92,0.2712931993250107,4826.0,4827.0
