gen,nevals,congestion_avg,congestion_std,congestion_min,congestion_max,time_avg,time_std,time_min,time_max,distance_avg,distance_std,distance_min,distance_max
1,22,0.0,0.0,0.0,0.0,736.68,76.53690351719229,616.0,874.0,5540.56,260.52609542999716,5091.0,6036.0
2,24,0.0,0.0,0.0,0.0,682.32,45.78184793124891,616.0,768.0,5350.8,143.78623021694392,5091.0,5592.0
3,22,0.0,0.0,0.0,0.0,677.96,63.82004700719045,616.0,768.0,5239.96,106.42423784082271,5091.0,5415.0
4,21,0.0,0.0,0.0,0.0,628.24,16.32,616.0,650.0,5158.32,89.76,5091.0,5278.0
5,23,0.0,0.0,0.0,0.0,616.0,0.0,616.0,616.0,5091.0,0.0,5091.0,5091.0
6,21,0.0,0.0,0.0,0.0,616.0,0.0,616.0,616.0,5091.0,0.0,5091.0,5091.0
7,22,0.0,0.0,0.0,0.0,616.0,0.0,616.0,616.0,5091.0,0.0,5091.0,5091.0
8,23,0.0,0.0,0.0,0.0,616.0,0.0,616.0,616.0,5091.0,0.0,5091.0,5091.0
9,22,0.0,0.0,0.0,0.0,616.0,0.0,616.0,616.0,5091.0,0.0,5091.0,5091.0
10,24,0.0,0.0,0.0,0.0,616.0,0.0,616.0,616.0,5091.0,0.0,5091.0,5091.0
